"id","idade","faixa_idade","genero","estado","uf","regiao","faixa_salarial","cargo","nivel","forma_trabalho","aws","gcp","azure","oracle_cloud","ibm_cloud","on_premise","cloud_propria","lang_sql","lang_r","lang_python","lang_c","lang_dotnet","lang_java","lang_julia","lang_sas_stata","lang_vba","lang_scala","lang_matlab","lang_php","lang_javascript","bi_powerbi","bi_qlik","bi_tableau","bi_metabase","bi_looker","bi_google_data_studio","bi_so_excel","bi_nenhuma"
"ldb6gtjcpnes6xldb6l114oklnvf98l1","32","30-34","Masculino","Paraná (PR)","PR","Sul","de R$ 20.001/mês a R$ 25.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"i8m8jqh7ie8wgt56ui8m83jzfj5tgwb8","30","30-34","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"frcux7u7md7w8it0frcunaj3vcelccza","32","30-34","Masculino","Paraná (PR)","PR","Sul","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"odm1n136vw0bodm1naj1sbftq7y7lbsy","38","35-39","Masculino","São Paulo (SP)","SP","Sudeste","Acima de R$ 40.001/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dz7ck9n6ghayra2dzcwtxc9aedftpnv1","54","50-54","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"arc3jv9nyz7z9nfly8farc3jvh9y1v2a","33","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f4ygt9h98qd0c0vs632uzwg4f4ygt9h4","26","25-29","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"w2pz782x96rtw2pzhs6ov8scud7q6t9a","27","25-29","Masculino","Mato Grosso (MT)","MT","Centro-oeste","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"u0hhyrmipf87fhu0hhyrggcbk5c9o0z0","21","17-21","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 1.001/mês a R$ 2.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t2eehp2bhzu9bro3t2eehp2b73zq7gvi","21","17-21","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 2.001/mês a R$ 3000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mcynszjpbcax09dfx8mcynszly5wgwp4","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9y1t62nwe8mvyyi9ao3sl39y1t62nkoc","35","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9b1oq1t8385hpegc9b1oqtgpezmbsjvb","49","45-49","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"upjalj1ktjyq109m0u4kupjaljdevvq5","34","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"i5hm8fcc1oxf241lfcfai5hm8fc97bua","47","45-49","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1g2wkwie0lek62acb11g2wk6whmg6ugt","28","25-29","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"j26nxw2o8cta1duh7dsj26nxwv7tndep","36","35-39","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2bq8dtrim2qhse7f54xyki2bq8641r2k","39","35-39","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"m9j93xsmhlqrjhrh2eeh8m9j93xgqrmm","33","30-34","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xw2xsa7a216o6so3nh3xfxw2xst2iqga","45","45-49","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a89ey1ldk084d0qp8t1a1a89ey1k8y6e","29","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"q6uco9nn3k8ebg2lvbq6ucoi8grnwoip","37","35-39","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 20.001/mês a R$ 25.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hqa2mc86vwizf9cwtgomnpl2hqa2mcmr","31","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rvwz98n23k3xwbx07qcrvwz98nhiiwu7","52","50-54","Masculino","Piauí (PI)","PI","Nordeste","Menos de R$ 1.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fymmjh82h6iymxh77j6fymmjhvaz8lbn","","55+","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qiu8j4gxmkcuprqt2kqiu8ju2blns3f2","38","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o24emd2if6kuyyf7dmuo3vtr1o24emd2","42","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jmjhv6bsbrckz2wjjhyk67ss6q9moecj","28","25-29","Masculino","Paraná (PR)","PR","Sul","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bdserw9mc6y8zbdserw9ofr5spqpiet7","38","35-39","Masculino","São Paulo (SP)","SP","Sudeste","Acima de R$ 40.001/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"khacbferq3jyl545x8cjokhac01uanky","25","25-29","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508jm4e8jxpg64pw508jm4swd237a6hu","37","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rc4qxiinkpnze8apj2oa6yrc4qxowr77","37","35-39","Masculino","","","Norte","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cv3e62ckq2ql3revz4zgcv3e6v2lk4ps","36","35-39","Masculino","Rio Grande do Norte (RN)","RN","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nwgoa1lxmlah5mvnwgoiehkf0yszn5tv","27","25-29","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ue9kq34wxpugo4c0hv0qh2ue9kjh4cxt","33","30-34","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4nvcw9f94jhl1ko4nvcw5ijk4lti5ndx","29","25-29","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yrhjxwscdfl516bibgi0kyrhait8fbnf","30","30-34","Masculino","Alagoas (AL)","AL","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yrhjxwscdfl516bibgi0kyrhait8fbnf","30","30-34","Masculino","Alagoas (AL)","AL","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qlezaaco9fkaxrhv5gwqlezag2e0z426","28","25-29","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1hnypxd8fpejmk7nht6jk1hnypx8jbr4","26","25-29","Masculino","Pernambuco (PE)","PE","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ysk9lzpssezpzysiyy286dvms7c07r1q","35","35-39","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 16.001/mês a R$ 20.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tyrs1bcoerzng72vyktyrsrvw5s2a2fm","28","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ta7qdmzipdiohc6ta7qabqje5i7ttly","26","25-29","Masculino","Paraná (PR)","PR","Sul","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t79mpmbuqv0ra9uikit79mpmc8j2lsn6","22","22-24","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 2.001/mês a R$ 3000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19xpflm0v8gkgclcrom19xp5t9lmtbds","34","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ifo09yp3bsnp89pwwifo097dsiu3938h","44","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 2.001/mês a R$ 3000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yuq2sb4pvtkp9yy8oos9yuq2scobe0a1","32","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 1.001/mês a R$ 2.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"im0u2dry2xt7li75ze5qlb915t9vnq66","42","40-44","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"y2lzzy67tv5o1y8ny2lziozbf29wbb54","28","25-29","Masculino","Pernambuco (PE)","PE","Nordeste","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"y05q4gk67o2vwqxjf886t5y05q4gak4p","32","30-34","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"w2ldtqlmysdbwvw2ld6y5vl95mesliud","39","35-39","Masculino","Paraná (PR)","PR","Sul","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"w1lz0n4jclezs5lr5w1lz8cqo53j59dl","24","22-24","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sn09e4tfrwrwvh8wydtl5ji0sn09e4tf","35","35-39","Feminino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 20.001/mês a R$ 25.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2mym0245nggazj3269u0twmqbbm183bo","32","30-34","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"q7coxmy9v9bmsk2r9oq7cox780e9istu","38","35-39","Masculino","Paraná (PR)","PR","Sul","de R$ 4.001/mês a R$ 6.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yblfh0cbth5qr3y8x0eyblf4jh815iz5","39","35-39","Masculino","Bahia (BA)","BA","Nordeste","Acima de R$ 40.001/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6tghw8qi1yjtsiv27ce6tghw8qej3gmi","39","35-39","Masculino","Espírito Santo (ES)","ES","Sudeste","de R$ 25.001/mês a R$ 30.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aira71i53os4k511saira0kgtekk6y9k","35","35-39","Masculino","Bahia (BA)","BA","Nordeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42us9ghblisriq4hsp42usxokjsxn52n","45","45-49","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"y9jckjpt44ifz5y9jck1rm3fctjvyd1r","35","35-39","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9x57lss4d1fjx9zeu9x5157783rjas7f","42","40-44","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wlpug8nzwvd5jrnjt64o3wlpug8gv274","38","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 20.001/mês a R$ 25.000/mês","","","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qey5tv0dg9vi0x9n12z90ex9qey5tv0d","40","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3jx2pymn8q6f8tym3jx2p56detg3n3eo","29","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k5k3hcbab9a8hkk5k3ooswxdc52h3ivo","28","25-29","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6o3lvc9lmtcmbqiy6o3l5iujml48pota","28","25-29","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","","","Modelo híbrido com dias fixos de trabalho presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
